manual_species,count,contributing_species_split,species_split_english,not_a_species_but_a,resolved_order,resolved_family,resolved_genus,resolved_species,resolved_scientific_name,common_name_text,common_name_language,manually_resolved,needs_manual_review,review_reason,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxonomy_changes_needed
cf salix sp,936,"cf salix sp, salix, salix sp",Sallow,,Salicales,Salicaceae,Salix,sp.,Salix sp.,Sallow,1.0,,False,,genus (latin),,,Plantae,3039576.0,Salix,GENUS,EXACT,95.0,https://www.gbif.org/species/3039576,salix,,carried-over (species_split_taxa_gbif_matches.csv),Salix,Salicaceae,Malpighiales,Plantae,Salix,new English common name 'Sallow'
cerealia,844,"ceerealia indet, ceralia, cerealia, cerealia frag, cerealia idet, cerealia indet, cerealia sp, cerealis indet, cerelia indet, cereralia, cf cerealia, crerealia indet, halm, halmstrå, sädeskorn",Plants,,Cerealia,Cerealia,Cerealia,indet.,Cerealia indet.,Plants,1.0,,False,,genus (latin),,,Plantae,6.0,Plantae,KINGDOM,HIGHERRANK,99.0,https://www.gbif.org/species/6,cerealia,,carried-over (species_split_taxa_gbif_matches.csv),,,,Plantae,Cerealia,new English common name 'Plants'
plant indet?,804,"baljfragment, ev. harts, frökapsel, fröskal, förkolnad ört, förkolnade rottrådar, gräs, grässtrå, grässtrån, gröt, harts, harts eller träkol, lid, löbträd, lövträ, lövträd, pollen, rhizom, rot, rotfilt, rotfilt örtstam, rotfragment, rotknöl, rottråd, rottrådar, rotttrådar, samt träkol, starr nöt, strå och örtfragment, träkol, växtdelar ört, ört, örtdelar, örtfragment, örtstam, örtstam och rot, örtstjälk, örtstjälkar",,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,plant,,,,,,,,"New everything ""Indet."""
indet?,610,"förkolnad, förkolnade, indet, kotefjjäl, kottefjäll, kvist, kvistspetsar, obestämt, obränd, oförkolnat material, oid, oid., okänt ursprung, organisk massa, ospec, ospec., smidesloppor, snöre, sot i keramik, sotig jord, stamdelar ört, stjälkar förkolnad, strå, strån, terrest, textil, textilfragment, torne, tågvirke",,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,indet,,,,,,,,
däggdjur?,551,"däggdjur, däggfjur, hovdjur, hår, litet däggdjur, nörkreatur, nöt, nötboskap, nötfiber, nöthår, nötkreatur, nötkrestur, stor gräsätare, större däggdjur, tagel, ötkreatur",Aurochs,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,marked uncertain ('?') in the manual mapping,animal (common name),nörkreatur,Bos taurus,Animalia,2441022.0,Bos taurus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441022,däggdjur,,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos taurus,
ask,374,"ask, askl",Ash,,Lamiales,Oleaceae,Fraxinus,excelsior,Fraxinus excelsior,ask,2.0,,False,,species (common name),ask,Fraxinus excelsior,Plantae,3172358.0,Fraxinus excelsior,SPECIES,EXACT,99.0,https://www.gbif.org/species/3172358,ask,,carried-over (species_split_taxa_gbif_matches.csv),Fraxinus,Oleaceae,Lamiales,Plantae,Fraxinus excelsior,"new taxon 'Fraxinus excelsior' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'ask'"
en,349,"en, enbark, enbär, enfrön, enkorn, enmöjl gran",Common Juniper,,Pinales,Cupressaceae,Juniperus,communis ssp communis,Juniperus communis ssp communis,en,2.0,,False,,species (common name),en,Juniperus communis ssp communis,Plantae,6319348.0,Juniperus communis communis,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6319348,en,,carried-over (species_split_taxa_gbif_matches.csv),Juniperus,Cupressaceae,Pinales,Plantae,Juniperus communis ssp communis,
matskorpa?,325,"matskopa, matskorpa, matskorpa (ins), matskorpa (sol)",,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,matskorpa,,,,,,,,
asp,320,asp,Aspen,,Salicales,Salicaceae,Populus,tremula,Populus tremula,asp,2.0,,False,,species (common name),asp,Populus tremula,Plantae,3040249.0,Populus tremula,SPECIES,EXACT,100.0,https://www.gbif.org/species/3040249,asp,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus tremula,"new taxon 'Populus tremula' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'asp'"
emmervete,278,"emme, emmer, emmervete, spelt- emmervete",Rivet Wheat,,Poales,Poaceae,Triticum,turgidum,Triticum turgidum,emmervete,2.0,,False,,species (common name),emmervete,Triticum turgidum,Plantae,2706406.0,Triticum turgidum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2706406,emmervete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum turgidum,"new taxon 'Triticum turgidum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'emmervete'"
vete,271,"skalvete, vete",Bread Wheat,,Poales,Poaceae,Triticum,aestivum,Triticum aestivum,vete,2.0,,False,,species (common name),vete,Triticum aestivum,Plantae,7795888.0,Triticum aestivum,SPECIES,EXACT,99.0,https://www.gbif.org/species/7795888,vete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum aestivum,"new taxon 'Triticum aestivum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'vete'"
lin,239,"lin, linfiber, linfrö",Common Flax,,Malpighiales,Linaceae,Linum,usitatissimum,Linum usitatissimum,lin,2.0,,False,,species (common name),lin,Linum usitatissimum,Plantae,2873861.0,Linum usitatissimum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2873861,lin,,carried-over (species_split_taxa_gbif_matches.csv),Linum,Linaceae,Malpighiales,Plantae,Linum usitatissimum,"new taxon 'Linum usitatissimum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'lin'"
trä?,220,"bark, barr, barrträd, basstamdelar, knopp",,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,trä,,,,,,,,
lind,220,"lind, lindbark, lindbast",Linden,,Malvales,Tiliaceae,Tilia,cordata,Tilia cordata,lind,2.0,,False,,species (common name),lind,Tilia cordata,Plantae,3152047.0,Tilia cordata,SPECIES,EXACT,99.0,https://www.gbif.org/species/3152047,lind,,carried-over (species_split_taxa_gbif_matches.csv),Tilia,Malvaceae,Malvales,Plantae,Tilia cordata,"new taxon 'Tilia cordata' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'lind'"
speltvete,186,"spel, spelt, spelt- emmervete",Spelt,,Poales,Poaceae,Triticum,spelta,Triticum spelta,speltvete,2.0,,False,,species (common name),speltvete,Triticum spelta,Plantae,2706402.0,Triticum spelta,SPECIES,EXACT,100.0,,speltvete,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum spelta,new Swedish common name 'speltvete'
maloideae,179,"maloidea, maloideae, maloidear",,,Rosales,Rosaceae,Rosaceae Indet,Indet,,,,TRUE,True,no GBIF or SEAD match at any rank,,,,,,,,,,,maloideae,,,,,,,,new genus 'Rosaceae Indet' with family_id 154; new species 'Indet' attached to new genius
lönn,175,lönn,Norway Maple,,Alismatales,Acoraceae,Acer,platanoides,Acer platanoides,lönn,2.0,,False,,species (common name),lönn,Acer platanoides,Plantae,3189846.0,Acer platanoides,SPECIES,EXACT,100.0,https://www.gbif.org/species/3189846,lönn,,carried-over (species_split_taxa_gbif_matches.csv),Acer,Sapindaceae,Sapindales,Plantae,Acer platanoides,"new taxon 'Acer platanoides' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'lönn'"
naket?,161,"najet korn, naket, naket kor, naket korn",,description,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,naket,,,,,,,,
bröd?,106,bröd,,description,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,bröd,,,,,,,,
pomoideae,103,"pomoidea, pomoideae",,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank,,,,,,,,,,,pomoideae,,,,,,,,
råg,98,råg,Cereal Rye,,Poales,Poaceae,Secale,cereale,Secale cereale,råg,2.0,,False,,species (common name),råg,Secale cereale,Plantae,2705966.0,Secale cereale,SPECIES,EXACT,99.0,https://www.gbif.org/species/2705966,råg,,carried-over (species_split_taxa_gbif_matches.csv),Secale,Poaceae,Poales,Plantae,Secale cereale,"new taxon 'Secale cereale' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'råg'"
häst,96,"häst, hästböna, hästsko, hästspillning, hästtand",Alberta Mountain Horse,,Perissodactyla,Equidae,Equus,caballus,Equus caballus,häst,2.0,,False,,animal (common name),häst,Equus caballus,Animalia,2440886.0,Equus caballus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440886,häst,,carried-over (species_split_taxa_gbif_matches.csv),Equus,Equidae,Perissodactyla,Animalia,Equus caballus,new order 'Perissodactyla'; new family 'Equidae'; new genus 'Equus'; new taxon 'Equus caballus' (author_id NULL); new Swedish common name 'häst'
bok,81,bok,Beech,,Fagales,Fagaceae,Fagus,sylvatica,Fagus sylvatica,bok,2.0,,False,,species (common name),bok,Fagus sylvatica,Plantae,2882316.0,Fagus sylvatica,SPECIES,EXACT,100.0,https://www.gbif.org/species/2882316,bok,,carried-over (species_split_taxa_gbif_matches.csv),Fagus,Fagaceae,Fagales,Plantae,Fagus sylvatica,"new taxon 'Fagus sylvatica' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'bok'"
svin,73,"get alt. svin, svin, svinbete, tamsvin",Domestic Pig,,Artiodactyla,Suidae,Sus,scrofa domesticus,Sus scrofa domesticus,svin,2.0,,False,,animal (common name),svin,Sus scrofa domesticus,Animalia,11374585.0,Sus scrofa domesticus,SUBSPECIES,EXACT,99.0,https://www.gbif.org/species/11374585,svin,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa domesticus,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa domesticus' (author_id NULL); new Swedish common name 'svin'
alm,72,alm,,,Rosales,Ulmaceae,Ulmus,sp.,,alm,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Cocos, Phoenix, Ulmus","genus (suffix, ambiguous)",,,,,,,,,,alm,"Cocos, Phoenix, Ulmus",,,,,,,new Swedish common name 'alm'
nävesläktet?,68,näver,Cranebills,,Geraniales,Geraniaceae,Geranium,indet.,Geranium indet.,nävesläktet,2.0,PENDING,True,weak GBIF match (VERNACULAR); marked uncertain ('?') in the manual mapping,gbif only (no prior SEAD anchor),,,Plantae,304058091.0,Geranium,GENUS,VERNACULAR,,,nävesläktet,,species/search (vernacular),Geranium,Geraniaceae,Geraniales,Plantae,,new taxon 'Geranium indet.' (author_id NULL); new Swedish common name 'nävesläktet'
säl,60,säl,Crawling Seals,,Carnivora,Phocidae,Phocidae indet,indet.,Phocidae indet indet.,säl,2.0,,False,,animal (family),säl,,Animalia,5310.0,Phocidae,FAMILY,EXACT,96.0,https://www.gbif.org/species/5310,säl,,carried-over (species_split_taxa_gbif_matches.csv),,Phocidae,Carnivora,Animalia,Phocidae,new order 'Carnivora'; new family 'Phocidae'; new genus 'Phocidae indet'; new taxon 'Phocidae indet indet.' (author_id NULL); new Swedish common name 'säl'
kubbvete,59,"bröd- kubbvete, kubbvete",,,Poales,Poaceae,Triticum,aestivum/compactum,Triticum aestivum/compactum,kubbvete,2.0,TRUE,True,weak GBIF match (VERNACULAR),gbif only (no prior SEAD anchor),,,Plantae,160025822.0,Triticum compactum,SPECIES,VERNACULAR,,,kubbvete,,species/search (vernacular),Triticum,Poaceae,Poales,Plantae,,new Swedish common name 'kubbvete'
får,59,"får, fårtand",Domestic Sheep,,Artiodactyla,Bovidae,Ovis,aries,Ovis aries,får,2.0,,False,,animal (common name),får,Ovis aries,Animalia,2441110.0,Ovis aries,SPECIES,EXACT,99.0,https://www.gbif.org/species/2441110,får,,carried-over (species_split_taxa_gbif_matches.csv),Ovis,Bovidae,Artiodactyla,Animalia,Ovis aries,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Ovis'; new taxon 'Ovis aries' (author_id NULL); new Swedish common name 'får'
havre,57,"haver, havre",,,Poales,Poaceae,Avena,sativa var sativa,Avena sativa var sativa,havre,2.0,,False,,species (common name),havre,Avena sativa var sativa,Plantae,7432992.0,Avena sativa sativa,VARIETY,EXACT,100.0,https://www.gbif.org/species/7432992,havre,,carried-over (species_split_taxa_gbif_matches.csv),Avena,Poaceae,Poales,Plantae,Avena sativa var sativa,
get,49,"get, get alt. svin",Billy Goat,,Artiodactyla,Bovidae,Capra,hircus,Capra hircus,get,2.0,,False,,animal (common name),get,Capra hircus,Animalia,2441056.0,Capra hircus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441056,get,,carried-over (species_split_taxa_gbif_matches.csv),Capra,Bovidae,Artiodactyla,Animalia,Capra hircus,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Capra'; new taxon 'Capra hircus' (author_id NULL); new Swedish common name 'get'
djur?,42,"bränt ben, djurben, gräsätare, hjärnsubstans, hörntand, koprolit, läder, tandrot, tjärat nöthår, tänder",Coralroot,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,marked uncertain ('?') in the manual mapping,species (common name),tandrot,Cardamine bulbifera,Plantae,3045931.0,Cardamine bulbifera,SPECIES,EXACT,99.0,https://www.gbif.org/species/3045931,djur,,carried-over (species_split_taxa_gbif_matches.csv),Cardamine,Brassicaceae,Brassicales,Plantae,Cardamine bulbifera,"new taxon 'Cardamine bulbifera' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'djur'"
brödvete,40,"bröd- kubbvete, brödvete",,,Poales,Poaceae,Triticum,aestivum/compactum,Triticum aestivum/compactum,brödvete,2.0,TRUE,True,no GBIF or SEAD match at any rank,,,,,,,,,,,brödvete,,,,,,,,new Swedish common name 'kubbvete'
hjortdjur,29,"hjort, hjortdjur, hjorthår",Barbary Red Deer (barbarus),,Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,hjortdjur,2.0,,False,,animal (family),hjortdjur,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,hjortdjur,,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Cervus'; new taxon 'Cervus elaphus' (author_id NULL); new Swedish common name 'hjortdjur'
sol?,28,"sol, sol fraktion, sol-fraktion",,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,sol,,,,,,,,
hordeum,26,hordeum,Barley,,Poales,Poaceae,Hordeum,sp.,Hordeum sp.,Barley,1.0,,False,,genus (latin),,,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,hordeum,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum,new English common name 'Barley'
populus sp,26,"populus, populus sp","Aspen, Cottonwood, Poplar",,Salicales,Salicaceae,Populus,sp.,Populus sp.,"Aspen, Cottonwood, Poplar",1.0,,False,,genus (latin),,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,populus,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,"new English common name 'Aspen, Cottonwood, Poplar'"
älg,25,älg,Alce,,Artiodactyla,Cervidae,Alces,alces,Alces alces,älg,2.0,,False,,animal (common name),älg,Alces alces,Animalia,2440940.0,Alces alces,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440940,älg,,carried-over (species_split_taxa_gbif_matches.csv),Alces,Cervidae,Artiodactyla,Animalia,Alces alces,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Alces'; new taxon 'Alces alces' (author_id NULL); new Swedish common name 'älg'
spelvete,24,"speltvete, spelvete",Spelt,,Poales,Poaceae,Triticum,spelta,Triticum spelta,spelvete,2.0,,False,,species (common name),speltvete,Triticum spelta,Plantae,2706402.0,Triticum spelta,SPECIES,EXACT,100.0,https://www.gbif.org/species/2706402,spelvete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum spelta,new Swedish common name 'spelvete'
hund,22,hund,Domestic Dog,,Carnivora,Canidae,Canis,lupus familiaris,Canis lupus familiaris,hund,2.0,,False,,animal (common name),hund,Canis lupus familiaris,Animalia,6164210.0,Canis lupus familiaris,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6164210,hund,,carried-over (species_split_taxa_gbif_matches.csv),Canis,Canidae,Carnivora,Animalia,Canis lupus familiaris,new order 'Carnivora'; new family 'Canidae'; new genus 'Canis'; new taxon 'Canis lupus familiaris' (author_id NULL); new Swedish common name 'hund'
brudbröd,22,"brudberöd, brudbröd",Dropwort,,Rosales,Rosaceae,Filipendula,vulgaris,Filipendula vulgaris,brudbröd,2.0,,False,,species (common name),brudbröd,Filipendula vulgaris,Plantae,2988069.0,Filipendula vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2988069,brudbröd,,carried-over (species_split_taxa_gbif_matches.csv),Filipendula,Rosaceae,Rosales,Plantae,Filipendula vulgaris,"new taxon 'Filipendula vulgaris' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'brudbröd'"
kronhjort,20,kronhjort,Barbary Red Deer (barbarus),,Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,kronhjort,2.0,,False,,animal (common name),kronhjort,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,kronhjort,,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Cervus'; new taxon 'Cervus elaphus' (author_id NULL); new Swedish common name 'kronhjort'
(sol)?,19,(sol),,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,(sol),,,,,,,,
brakved,18,brakved,Alder Buckthorn,,Rosales,Rhamnaceae,Frangula,alnus,Frangula alnus,brakved,2.0,,False,,species (common name),brakved,Frangula alnus,Plantae,3039454.0,Frangula alnus,SPECIES,EXACT,100.0,https://www.gbif.org/species/3039454,brakved,,carried-over (species_split_taxa_gbif_matches.csv),Frangula,Rhamnaceae,Rosales,Plantae,Frangula alnus,"new taxon 'Frangula alnus' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'brakved'"
cf hordeum vulgare,17,"cf hordeum sp, cf hordeum vulgare, hordeum sp, hordeum vulgare",Barley,,Poales,Poaceae,Hordeum,vulgare var vulgare,Hordeum vulgare var vulgare,sexradigt korn,2.0,,False,,species (latin),,Hordeum vulgare var vulgare,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,hordeum vulgare,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum vulgare var vulgare,
ull,14,"ull, ulltextil",,,Poales,Cyperaceae,Eriophorum,sp.,Eriophorum sp.,ullsläktet,2.0,TRUE,True,"ambiguous genus suffix match, candidates: Eriophorum, Nymphoides, Polemonium; weak GBIF match (VERNACULAR)","genus (suffix, ambiguous)",,,Plantae,160027178.0,Eriophorum,GENUS,VERNACULAR,,,ull,"Eriophorum, Nymphoides, Polemonium",species/search (vernacular),Eriophorum,Cyperaceae,Poales,Plantae,,new Swedish common name 'ullsläktet'
ren,12,"ren, renhår",Caribou,,Artiodactyla,Cervidae,Rangifer,tarandus,Rangifer tarandus,ren,2.0,,False,,animal (common name),ren,Rangifer tarandus,Animalia,5220114.0,Rangifer tarandus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220114,ren,,carried-over (species_split_taxa_gbif_matches.csv),Rangifer,Cervidae,Artiodactyla,Animalia,Rangifer tarandus,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Rangifer'; new taxon 'Rangifer tarandus' (author_id NULL); new Swedish common name 'ren'
prunus sp,12,prunus sp,"Almond, Cherry, Plum",,Rosales,Rosaceae,Prunus,indet.,Prunus indet.,"Almond, Cherry, Plum",1.0,,False,,genus (latin),,,Plantae,3020559.0,Prunus,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3020559,prunus,,carried-over (species_split_taxa_gbif_matches.csv),Prunus,Rosaceae,Rosales,Plantae,Prunus,"new taxon 'Prunus indet.' (author_id NULL); new English common name 'Almond, Cherry, Plum'"
Starrsläktet,12,starr,Sedges,,Poales,Cyperaceae,Carex,spp.,Carex sp.,Starrsläktet,2.0,TRUE,True,ambiguous genus suffix match (candidates not available); weak GBIF match (VERNACULAR),"genus (suffix, ambiguous)",,,Plantae,296322706.0,Carex,GENUS,VERNACULAR,,,starrsläktet,,species/search (vernacular),Carex,Cyperaceae,Poales,Plantae,,new Swedish common name 'Starrsläktet'
bäver,11,bäver,Beaver,,Rodentia,Castoridae,Castor,fiber,Castor fiber,bäver,2.0,,False,,animal (common name),bäver,Castor fiber,Animalia,4409131.0,Castor fiber,SPECIES,EXACT,100.0,https://www.gbif.org/species/4409131,bäver,,carried-over (species_split_taxa_gbif_matches.csv),Castor,Castoridae,Rodentia,Animalia,Castor fiber,new order 'Rodentia'; new family 'Castoridae'; new genus 'Castor'; new taxon 'Castor fiber' (author_id NULL); new Swedish common name 'bäver'
fisk?,11,"fisk, fiskben, fiskfjäll",,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,fisk,,,,,,,,
