author_raw,author_parsed,needs_review,flag_reason
"Appelgren, Katarina m l","Appelgren, K.",False,
"Arbin, Staffan von","von Arbin, S.",False,particle
"Arcini, C., Hedvall, A & Konsmar, A","Arcini, C., Hedvall, A. & Konsmar, A.",False,
"Arcini, Caroline","Arcini, C.",False,
"Arcini, Caroline m fl","Arcini, C. et al.",False,et_al
"Arcini,Caroline & Artelius,Tore","Arcini, C. & Artelius, T.",False,
"Arfalk, K., Hedvall, R. & Lindeblad, L","Arfalk, K., Hedvall, R. & Lindeblad, L.",False,
"Arfalk, Karin & Sjölin, Marita","Arfalk, K. & Sjölin, M.",False,
"Arnberg, Anna","Arnberg, A.",False,
"Arnberg, Anna & Runer, Johan","Arnberg, A. & Runer, J.",False,
"Arnberg, Anna & Runessopn, Henrik","Arnberg, A. & Runessopn, H.",False,
"Arnberg, Anna m fl","Arnberg, A. et al.",False,et_al
"Arnegård, A., Carlsson., & Ros, J","Arnegård, A., Carlsson., & Ros, J",True,odd_tokens
"Arrhenius, Birgit & Eriksson, Gunilla","Arrhenius, B. & Eriksson, G.",False,
"Artelius, T., Hernek, R., Ängeby, G.","Artelius, T., Hernek, R. & Ängeby, G.",False,
"Artelius, T., m. .fl.","Artelius, T., m. .fl",True,odd_tokens
"Artelius, Tore","Artelius, T.",False,
"Artelius, Tore & Arcini, Tore","Artelius, T. & Arcini, T.",False,
"Artelius, Tore & Nordin, Petra","Artelius, T. & Nordin, P.",False,
"Artursson, Magnus","Artursson, M.",False,
"Artursson, Magnus & Hyll, Nathalie","Artursson, M. & Hyll, N.",False,
"Artursson, Magnus (red)","Artursson, M. (ed.)",False,editor
"Arvin, Staffan von & Wallbom, Staffan","von Arvin, S. & Wallbom, S.",False,particle
"Arwill-Nordbladh, Elisabeth &Ekblad, Krister","Arwill-Nordbladh, E. & Ekblad, K.",False,
"Asp, Yliali & Skär, Gunilla","Asp, Y. & Skär, G.",False,
"Aspeborg, Håkakn & Östling, Anna","Aspeborg, H. & Östling, A.",False,
"Aspeborg, Håkan","Aspeborg, H.",False,
"Aspeborg, Håkan & Appelgren, Katarina","Aspeborg, H. & Appelgren, K.",False,
"Aspeborg, Håkan & Becker, Nathalie","Aspeborg, H. & Becker, N.",False,
"Aspeborg, Håkan & Seiler, Anton","Aspeborg, H. & Seiler, A.",False,
"Aspeborg, Håkan & lagerås, Per","Aspeborg, H. & lagerås, P.",False,
"Aspeborg, Håkan (Red)","Aspeborg, H. (ed.)",False,editor
"Aspeborg, Håkan m fl","Aspeborg, H. et al.",False,et_al
"Asserstam, Marcus","Asserstam, M.",False,
"Auliln, Anna & Häggström, Leif","Auliln, A. & Häggström, L.",False,
"Aulin Häggström, Anna","Aulin Häggström, A.",False,
"Aulin, Anna & Gustafsson, Anders","Aulin, A. & Gustafsson, A.",False,
"Axelsson Karlqvist, Jimmy","Axelsson Karlqvist, J.",False,
"Axelsson Karlqvist, Jimmy & Fahlberg, David","Axelsson Karlqvist, J. & Fahlberg, D.",False,
"Axelsson Karlqvist, Jimmy & Frisk, Mattias","Axelsson Karlqvist, J. & Frisk, M.",False,
"Axelsson, Karlqvist, Jimmy & Fahlberg, David","Axelsson, Karlqvist, Jimmy & Fahlberg, David",True,odd_tokens
"Axelsson, S., Olsson, H., Schedin, P,","Axelsson, S., Olsson, H. & Schedin, P.",False,
"Axelsson, Tony","Axelsson, T.",False,
"Backe, Margareta","Backe, M.",False,
"Backman, Lars","Backman, L.",False,
"Backman, Lars m fl","Backman, L. et al.",False,et_al
"Balic, Ivan & Guldåker, Aja","Balic, I. & Guldåker, A.",False,
"Balknäs, Nina","Balknäs, N.",False,
"Balknäs, Nina & Bergold, Helmut","Balknäs, N. & Bergold, H.",False,
"Balknäs, Nina, Karlenby, Leif","Balknäs, N. & Karlenby, L.",False,
"Bark, Rune","Bark, R.",False,
"Baudou, Evert","Baudou, E.",False,
"Becker, Nathalie","Becker, N.",False,
"Becker, Nathalie, Eriksson, Mats & Wigg, Ann-Sofie","Becker, N., Eriksson, M. & Wigg, A.",False,
"Beckmah.Thoor, Karin","Beckmah.Thoor, K.",False,
"Beckman, Anna","Beckman, A.",False,
"Beckman, Anna & Blomqvist, Philip","Beckman, A. & Blomqvist, P.",False,
"Beckman-Thoor, Karin","Beckman-Thoor, K.",False,
"Beckman-Thoor, Karin & Franzén, Bitte","Beckman-Thoor, K. & Franzén, B.",False,
"Beckman.Thoor, Karin","Beckman.Thoor, K.",False,
"Bengtsson, Boel & Bergstrand, Thomas","Bengtsson, B. & Bergstrand, T.",False,
"Bengtsson, L. ,Gustafsson, A. & Strid, L","Bengtsson, L., Gustafsson, A. & Strid, L.",False,
"Bengtsson, L., Hernek, R., & Johansson, G.","Bengtsson, L., Hernek, R. & Johansson, G.",False,
"Bengtsson, Lisbet","Bengtsson, L.",False,
"Bengtsson, Lisbet & Ryberg, Ewa","Bengtsson, L. & Ryberg, E.",False,
"Bengtsson, Lisbet, Bondesson, Wivianne","Bengtsson, L. & Bondesson, W.",False,
"Bengtsson, Lisbet. & Wennstedt Edvinger, Britta","Bengtsson, L. & Wennstedt Edvinger, B.",False,
"Bengtsson, Lisbeth & Hedlund, John","Bengtsson, L. & Hedlund, J.",False,
"Bengtsson, P G","Bengtsson, P.",False,
"Bennerhag Carina & Palmbo, Frida","Bennerhag Carina & Palmbo, Frida",True,odd_tokens
"Bennerhag, Carina","Bennerhag, C.",False,
"Bennerhag, Carina & Palmbo, Frida","Bennerhag, C. & Palmbo, F.",False,
"Bennerhag, Carina m fl","Bennerhag, C. et al.",False,et_al
"Bennerhag, Carins & Erik Nordhag","Bennerhag, Carins & Erik Nordhag",True,odd_tokens
"Bennet, Agneta","Bennet, A.",False,
"Bennett, Agneta","Bennett, A.",False,
Bennström Greger,Bennström Greger,True,no_comma
"Bennström, Greger","Bennström, G.",False,
"Bennström, Greger & Carlsson, Eva","Bennström, G. & Carlsson, E.",False,
"Bennström, Greger & Helgesson, Charlotta","Bennström, G. & Helgesson, C.",False,
"Bennström, Greger & Hägerman, Britt-Mari","Bennström, G. & Hägerman, B.",False,
"Berg Nilsson, Lena, Groop, Niklas & Hovanta, Elise","Berg Nilsson, L., Groop, N. & Hovanta, E.",False,
"Berg, P., Celin, P., Lundin, J. & Westrin, K.","Berg, P., Celin, P., Lundin, J. & Westrin, K.",False,
"Berg, Peter","Berg, P.",False,
"Berg, Peter & Norberg, Lars","Berg, P. & Norberg, L.",False,
"Berg, Stefan & Lindholm, Pehr","Berg, S. & Lindholm, P.",False,
"Berg, Stefan & Segerberg, Ann","Berg, S. & Segerberg, A.",False,
"Bergenstråhle, Ingrid","Bergenstråhle, I.",False,
"Berger, Å., Gustafsson, S. & Klange, J.","Berger, Å., Gustafsson, S. & Klange, J.",False,
"Berger, Åsa","Berger, Å.",False,
"Berger, Åsa & Pantzar, Cecilia","Berger, Å. & Pantzar, C.",False,
"Berger, Åse","Berger, Å.",False,
"Berggren, Anna & Hennius, Andreas","Berggren, A. & Hennius, A.",False,
"Berggren, Karin","Berggren, K.",False,
"Berggren, Karin & Olsson, Karin","Berggren, K. & Olsson, K.",False,
"Berggren, Åsa & Celin, Ulf","Berggren, Å. & Celin, U.",False,
"Bergh, Stefan","Bergh, S.",False,
"Berglund, A., Gustafsson, E. & Henriksson, C.","Berglund, A., Gustafsson, E. & Henriksson, C.",False,
"Berglund, Anders","Berglund, A.",False,
"Berglund, Joel & Wennstedt Edvinger, Britta","Berglund, J. & Wennstedt Edvinger, B.",False,
"Berglund, Lena","Berglund, L.",False,
"Bergold, Helmut","Bergold, H.",False,
"Bergold, Helmut & Holm, Jenny","Bergold, H. & Holm, J.",False,
"Bergold, Helmut & Johannsen, Odd","Bergold, H. & Johannsen, O.",False,
"Bergold, Helmut & Pettersson, Olof","Bergold, H. & Pettersson, O.",False,
"Bergold, Helmut & Ramström, Annica","Bergold, H. & Ramström, A.",False,
"Bergold, Helmut & Wikell, Roger","Bergold, H. & Wikell, R.",False,
"Bergold, Helmut & ramström, Annica","Bergold, H. & ramström, A.",False,
"Bergquist, Ulla","Bergquist, U.",False,
"Bergqvist, Johanna","Bergqvist, J.",False,
"Bergqvist, Johanna & Bäck, Mathias","Bergqvist, J. & Bäck, M.",False,
"Bergqvist, Johanna & Hedvall, Rikard","Bergqvist, J. & Hedvall, R.",False,
"Bergren, K., Hallgren, F. & Holm, J.","Bergren, K., Hallgren, F. & Holm, J.",False,
"Bergren, Åsa","Bergren, Å.",False,
"Bergstrand, Thomas","Bergstrand, T.",False,
"Beronius Jörpeland, L m.fl","Beronius Jörpeland, L. et al.",False,et_al
"Beronius Jörpeland, L., Dunér, J., och Skyllberg,","Beronius Jörpeland, L., Dunér, J., & Skyllberg",True,odd_tokens
"Beronius Jörpeland, L., Lindholm, P., & Renk, A","Beronius Jörpeland, L., Lindholm, P. & Renk, A.",False,
"Beronius Jörpeland, L., Vinberg, A. Östlund, S.","Beronius Jörpeland, L., Vinberg, A. Östlund, S",True,odd_tokens
"Beronius Jörpeland, Lena","Beronius Jörpeland, L.",False,
"Beronius Jörpeland, Lena & Evanni, Louise","Beronius Jörpeland, L. & Evanni, L.",False,
"Beronius Jörpeland, Lena & Hamilton, John","Beronius Jörpeland, L. & Hamilton, J.",False,
"Beronius Jörpeland, Lena & Sander, Birgitta","Beronius Jörpeland, L. & Sander, B.",False,
"Beronius Jörpeland, Lena & Skyllberg, Eva","Beronius Jörpeland, L. & Skyllberg, E.",False,
"Beronius Jörpeland, Lena & Westberg, Tomas","Beronius Jörpeland, L. & Westberg, T.",False,
"Beronius Jörpeland, Lena m fl","Beronius Jörpeland, L. et al.",False,et_al
"Beronius Jörpeland, Lena m.fl.","Beronius Jörpeland, L. et al.",False,et_al
"Beronius-Jörpeland, Lena","Beronius-Jörpeland, L.",False,
"Beronius-Jörpeland, Lena (red)","Beronius-Jörpeland, L. (ed.)",False,editor
"Bertilsson, Ulf","Bertilsson, U.",False,
"Bertvall, Cecilia","Bertvall, C.",False,
"Beskman-Thoor, Karin","Beskman-Thoor, K.",False,
"Billberg, Ingemar","Billberg, I.",False,
"Billberg, Ingemar & Magnusson Staaf, Björn","Billberg, I. & Magnusson Staaf, B.",False,
"Billström, Linda","Billström, L.",False,
"Billström, Linda m. fl.","Billström, L. et al.",False,et_al
"Biuw, Anita","Biuw, A.",False,
"Bjuggner, Lena","Bjuggner, L.",False,
"Bjuggner, Lena & Carlie, Lennart","Bjuggner, L. & Carlie, L.",False,
"Bjuggner, Lena & Håkansson, Anders","Bjuggner, L. & Håkansson, A.",False,
"Bjuggner, Lena & Rosengren, Erik","Bjuggner, L. & Rosengren, E.",False,
"Bjuggner, Lena m fl","Bjuggner, L. et al.",False,et_al
"Bjöck, Niclas m fl","Bjöck, N. et al.",False,et_al
"Björck, M., Björck, N. & Martinelle, K.","Björck, M., Björck, N. & Martinelle, K.",False,
"Björck, Maria","Björck, M.",False,
"Björck, Maria & Blennå, Inga","Björck, M. & Blennå, I.",False,
"Björck, N m fl","Björck, N. et al.",False,et_al
"Björck, N. & Hjärthner-Holdar, E. (red.)","Björck, N. & Hjärthner-Holdar, E. (ed.)",False,editor
"Björck, Niclas","Björck, N.",False,
"Björck, Niclas & Appelgren, Katarina","Björck, N. & Appelgren, K.",False,
"Björck, Niclas & Grandin, Lena","Björck, N. & Grandin, L.",False,
"Björck, Niclas & Larsson, Fredrik","Björck, N. & Larsson, F.",False,
"Björck, Niclas & Liases, Katarina","Björck, N. & Liases, K.",False,
"Björck, Niclas m fl","Björck, N. et al.",False,et_al
"Björhem, B., Carlsson, M. & Svan, B","Björhem, B., Carlsson, M. & Svan, B.",False,
"Björhem, N & Säfvestad, U","Björhem, N. & Säfvestad, U.",False,
"Björk, Mikael m fl","Björk, M. et al.",False,et_al
"Björk, Niclas","Björk, N.",False,
"Björk, Niclas (red)","Björk, N. (ed.)",False,editor
"Björk, Tont & Wickberg, Ylva","Björk, T. & Wickberg, Y.",False,
"Björk, Tony","Björk, T.",False,
"Björk, Tony & Pettersson, Claes","Björk, T. & Pettersson, C.",False,
"Björk, Tony & Pettersson, Linda","Björk, T. & Pettersson, L.",False,
"Björk, Tony & Tronde, Brita","Björk, T. & Tronde, B.",False,
"Björk, Tony m fl","Björk, T. et al.",False,et_al
"Björk, Tony, Knarrström, Bo &l Persson, Carl","Björk, T., Knarrström, B. & l Persson, C.",False,
"Björk, Tove","Björk, T.",False,
"Björkhagar, Victoria","Björkhagar, V.",False,
"Björkhagar, Viktoria","Björkhagar, V.",False,
"Björkhagar, Viktoria & Lundgren, Roger","Björkhagar, V. & Lundgren, R.",False,
"Björkhager, Victoria &Lindberg, Rickard","Björkhager, V. & Lindberg, R.",False,
"Björkhager, Viktoria","Björkhager, V.",False,
"Björkhager, Viktoria & Feldt, Ann-Charlott Feldt","Björkhager, V. & Feldt, A.",False,
"Björklund, Samuel","Björklund, S.",False,
"Björnhem, Nils m fl","Björnhem, N. et al.",False,et_al
"Blennå, Inga","Blennå, I.",False,
"Blennå, Inga & Eriksson, Katarina","Blennå, I. & Eriksson, K.",False,
"Bless Karlsen, Katherine","Bless Karlsen, K.",False,
"Bless Karlsen, Katherine m fl","Bless Karlsen, K. et al.",False,et_al
Bless Karlsenm Katherine m fl,Bless Karlsenm Katherine et al.,True,"et_al,no_comma"
"Bless-Karlsen, Katrine","Bless-Karlsen, K.",False,
"Blomqvist, M., Fagerlund, D., Eriksson,T & Rosborg","Blomqvist, M., Fagerlund, D., Eriksson,T & Rosborg",True,odd_tokens
"Blomqvist, Malin & Frykberg, Yvonne","Blomqvist, M. & Frykberg, Y.",False,
"Blomqvist, Malin & Hedlund, John","Blomqvist, M. & Hedlund, J.",False,
"Blomqvist, Philip","Blomqvist, P.",False,
"Boije, Margareta, Jansson, Anders","Boije, M. & Jansson, A.",False,
"Bolander, Adam","Bolander, A.",False,
"Bolander, Adam & Larsson, Stefan","Bolander, A. & Larsson, S.",False,
"Bolin, Hans & Edenmo, Roger","Bolin, H. & Edenmo, R.",False,
"Boman, Emma","Boman, E.",False,
"Boman, emma","Boman, E.",False,
"Bondesson Hvid, Bo","Bondesson Hvid, B.",False,
"Bondesson, W, Forenius m fl","Bondesson, W, Forenius et al.",True,"et_al,odd_tokens"
"Bondesson, W., Lindberg, K-F., & Appelgren, K","Bondesson, W., Lindberg, K. & Appelgren, K.",False,
"Bondesson, Wivianne","Bondesson, W.",False,
"Bondesson, Wivianne & Strucke, Ulf","Bondesson, W. & Strucke, U.",False,
"Borg, Jan","Borg, J.",False,
"Borg, Jan & Kallerskog, Linnea","Borg, J. & Kallerskog, L.",False,
"Borg, Niklas","Borg, N.",False,
"Borna, Hélène","Borna, H.",False,
"Borna-Ahlkvist, Hélène","Borna-Ahlkvist, H.",False,
"Borna-Ahlqvist, Hélène & Larsson, Mats","Borna-Ahlqvist, H. & Larsson, M.",False,
"Bornefalk Back, Anders","Bornefalk Back, A.",False,
"Bornfalk Back, Anders","Bornfalk Back, A.",False,
"Boström, Sebastian","Boström, S.",False,
"Boström, Sebastian & Grehn, Fredrik","Boström, S. & Grehn, F.",False,
"Bramstång, C., Johansson, G. & Ryberg, E.","Bramstång, C., Johansson, G. & Ryberg, E.",False,
"Bramstång, Carina","Bramstång, C.",False,
"Bramstång, Carina & Artelius, Tore","Bramstång, C. & Artelius, T.",False,
"Bramstång, Carina & Gustafsson, Agneta","Bramstång, C. & Gustafsson, A.",False,
"Bramstång, Carina m fl","Bramstång, C. et al.",False,et_al
"Bratt, Peter","Bratt, P.",False,
"Bratt, Peter & Andersson, Kjell","Bratt, P. & Andersson, K.",False,
"Bratt, Peter & Lindström,Jonathan","Bratt, P. & Lindström, J.",False,
"Bratt, Peter & Werthwein, Göran","Bratt, P. & Werthwein, G.",False,
"Brink, Kristian","Brink, K.",False,
"Brink, Kristian & Hammarstrand, Katarina Dehman","Brink, K. & Hammarstrand, K.",False,
"Brink, Kristian & Hydén, Susan","Brink, K. & Hydén, S.",False,
"Brink, Kristian & Larsson, Stefan","Brink, K. & Larsson, S.",False,
"Brink, Kristian & Ohlsson, Therese","Brink, K. & Ohlsson, T.",False,
"Brink, Kristian & Wickberg, Ylva","Brink, K. & Wickberg, Y.",False,
"Brink, Kristian m fl","Brink, K. et al.",False,et_al
"Brink,Kristan & Grehn, Fredrik","Brink, K. & Grehn, F.",False,
"Broadbent, N., Bergvall, M. & Backe, M","Broadbent, N., Bergvall, M. & Backe, M.",False,
"Broberg, Anders","Broberg, A.",False,
"Broberg, Anders & Franke, Martina","Broberg, A. & Franke, M.",False,
"Broberg, Birgitta & Andersson, Kenneth","Broberg, B. & Andersson, K.",False,
"Browall, Hans","Browall, H.",False,
"Brunstedt, S & Carlsson, M","Brunstedt, S. & Carlsson, M.",False,
"Brunstedt, Solveig","Brunstedt, S.",False,
"Brunstedt, Solveig & Flodin, Lena","Brunstedt, S. & Flodin, L.",False,
"Brunstedt, Solveig & Sande, Birgitta","Brunstedt, S. & Sande, B.",False,
"Brunstedt, Solvig","Brunstedt, S.",False,
"Brynielsson, Maria","Brynielsson, M.",False,
"Burman, Agneta","Burman, A.",False,
"Burman, Agneta & Carlsson, Eva","Burman, A. & Carlsson, E.",False,
"Burman, Agneta & Sandberg, Fredrik","Burman, A. & Sandberg, F.",False,
"Burman, Ann Christin","Burman, A.",False,
"Burman, Ann-Christin","Burman, A.",False,
"Bäck, M, Hållans Stenholm A-M & Ljung, J-Å","Bäck, M, Hållans Stenholm A-M & Ljung, J-Å",True,odd_tokens
"Bäck, Mathas","Bäck, M.",False,
"Bäck, Mathias","Bäck, M.",False,
"Bäck, Mathias & Evanni, Loiuse","Bäck, M. & Evanni, L.",False,
"Bäck, Mathias & Hamilton, John","Bäck, M. & Hamilton, J.",False,
"Bäck, Mathias & Karlssom, Martin","Bäck, M. & Karlssom, M.",False,
"Bäck, Mathias & Romedahl, Helén","Bäck, M. & Romedahl, H.",False,
"Bäck, Mathias m fl","Bäck, M. et al.",False,et_al
"Bäck, Mathias, m fl","Bäck, M. et al.",False,et_al
"Bäckström, Ylva & Ljungkvist, John","Bäckström, Y. & Ljungkvist, J.",False,
"Bäckström, Ylva & Sundström, Anne I","Bäckström, Y. & Sundström, A.",False,
"Bäckström, Ylva, Hulth, Helena & Wikborg, Jonas","Bäckström, Y., Hulth, H. & Wikborg, J.",False,
"Bångenholm, G., Persson, P., Sjögren K-G","Bångenholm, G., Persson, P., Sjögren K-G",True,odd_tokens
"Börjesson, Anna","Börjesson, A.",False,
"Börjesson, Anna & Ohlsén, Marie","Börjesson, A. & Ohlsén, M.",False,
"Cademar Nilsson, Å., & Olsson, M.","Cademar Nilsson, Å. & Olsson, M.",False,
"Carelli, Peter","Carelli, P.",False,
"Carlie, Anne","Carlie, A.",False,
"Carlie, Anne & Ericson, Alf","Carlie, A. & Ericson, A.",False,
"Carlie, Anne & Lagergren, Anna","Carlie, A. & Lagergren, A.",False,
"Carlie, Anne & Lindberg, Sofia","Carlie, A. & Lindberg, S.",False,
"Carlie, Anne (red)","Carlie, A. (ed.)",False,editor
"Carlie, Anne m fl","Carlie, A. et al.",False,et_al
"Carlie, Lennart","Carlie, L.",False,
"Carlsson, Christer","Carlsson, C.",False,
"Carlsson, Dan","Carlsson, D.",False,
"Carlsson, Dan m fl","Carlsson, D. et al.",False,et_al
"Carlsson, Eva","Carlsson, E.",False,
"Carlsson, Eva & Hägerman, Britt-Mari","Carlsson, E. & Hägerman, B.",False,
"Carlsson, Eva & Hägerman, Britt-Marie","Carlsson, E. & Hägerman, B.",False,
"Carlsson, Eva & Hägerman, Britt-Marti","Carlsson, E. & Hägerman, B.",False,
"Carlsson, Eva & Lindberg, Karl-Fredrik","Carlsson, E. & Lindberg, K.",False,
"Carlsson, Eva & Lögdqvist Anna","Carlsson, E. & Lögdqvist, A.",False,
"Carlsson, Eva & Lögdqvist, Anna","Carlsson, E. & Lögdqvist, A.",False,
