manual_species,count,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,resolved_order,resolved_order_is_new,resolved_family,resolved_family_is_new,resolved_genus,resolved_genus_id,resolved_genus_is_new,resolved_species,resolved_scientific_name,taxon_id,taxon_id_is_new,matched_existing_taxon,blocked_by_existing_author_id,common_name_id,common_name_id_is_new,common_name_text,common_name_language,taxonomy_changes_needed,needs_manual_review,review_reason
cf salix sp,466,genus (latin),,,Plantae,3039576.0,Salix,GENUS,EXACT,95.0,https://www.gbif.org/species/3039576,Sallow,"cf salix sp, salix, salix sp",salix,,carried-over (species_split_taxa_gbif_matches.csv),Salix,Salicaceae,Malpighiales,Plantae,Salix,Salicales,False,Salicaceae,False,Salix,984,False,sp.,Salix sp.,18215,False,True,False,4278,True,Sallow,1,new English common name 'Sallow',False,
plant indet?,399,,,,,,,,,,,,"baljfragment, ev. harts, frökapsel, fröskal, förkolnad ört, förkolnade rottrådar, gräs, grässtrå, grässtrån, gröt, harts, harts eller träkol, lid, löbträd, lövträ, lövträd, pollen, rhizom, rot, rotfilt, rotfilt örtstam, rotfragment, rotknöl, rottråd, rottrådar, rotttrådar, samt träkol, starr nöt, strå och örtfragment, träkol, växtdelar ört, ört, örtdelar, örtfragment, örtstam, örtstam och rot, örtstjälk, örtstjälkar",plant,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
ask,373,species (common name),ask,Fraxinus excelsior,Plantae,3172358.0,Fraxinus excelsior,SPECIES,EXACT,99.0,https://www.gbif.org/species/3172358,Ash,"ask, askl",ask,,carried-over (species_split_taxa_gbif_matches.csv),Fraxinus,Oleaceae,Lamiales,Plantae,Fraxinus excelsior,Lamiales,False,Oleaceae,False,Fraxinus,702,False,excelsior,Fraxinus excelsior,47013,True,False,True,4279,True,ask,2,"new taxon 'Fraxinus excelsior' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'ask'",False,
asp,320,species (common name),asp,Populus tremula,Plantae,3040249.0,Populus tremula,SPECIES,EXACT,100.0,https://www.gbif.org/species/3040249,Aspen,asp,asp,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus tremula,Salicales,False,Salicaceae,False,Populus,983,False,tremula,Populus tremula,47014,True,False,True,4280,True,asp,2,"new taxon 'Populus tremula' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'asp'",False,
matskorpa?,304,,,,,,,,,,,,"matskopa, matskorpa, matskorpa (ins), matskorpa (sol)",matskorpa,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
däggdjur?,270,animal (common name),nörkreatur,Bos taurus,Animalia,2441022.0,Bos taurus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441022,Aurochs,"däggdjur, däggfjur, hovdjur, hår, litet däggdjur, nörkreatur, nöt, nötboskap, nötfiber, nöthår, nötkreatur, nötkrestur, stor gräsätare, större däggdjur, tagel, ötkreatur",däggdjur,,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos taurus,Artiodactyla,True,Bovidae,True,Bos,16752,True,taurus,Bos taurus,47015,True,False,False,4281,True,däggdjur,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Bos'; new taxon 'Bos taurus' (author_id NULL); new Swedish common name 'däggdjur',True,marked uncertain ('?') in the manual mapping
en,230,species (common name),en,Juniperus communis ssp communis,Plantae,6319348.0,Juniperus communis communis,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6319348,Common Juniper,"en, enbark, enbär, enfrön, enkorn, enmöjl gran",en,,carried-over (species_split_taxa_gbif_matches.csv),Juniperus,Cupressaceae,Pinales,Plantae,Juniperus communis ssp communis,Pinales,False,Cupressaceae,False,Juniperus,450,False,communis ssp communis,Juniperus communis ssp communis,1880,False,True,False,1510,False,en,2,,False,
lind,218,species (common name),lind,Tilia cordata,Plantae,3152047.0,Tilia cordata,SPECIES,EXACT,99.0,https://www.gbif.org/species/3152047,Linden,"lind, lindbark, lindbast",lind,,carried-over (species_split_taxa_gbif_matches.csv),Tilia,Malvaceae,Malvales,Plantae,Tilia cordata,Malvales,False,Tiliaceae,False,Tilia,1052,False,cordata,Tilia cordata,47016,True,False,True,4282,True,lind,2,"new taxon 'Tilia cordata' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'lind'",False,
lönn,175,species (common name),lönn,Acer platanoides,Plantae,3189846.0,Acer platanoides,SPECIES,EXACT,100.0,https://www.gbif.org/species/3189846,Norway Maple,lönn,lönn,,carried-over (species_split_taxa_gbif_matches.csv),Acer,Sapindaceae,Sapindales,Plantae,Acer platanoides,Alismatales,False,Acoraceae,False,Acer,3,False,platanoides,Acer platanoides,47017,True,False,True,4283,True,lönn,2,"new taxon 'Acer platanoides' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'lönn'",False,
emmervete,121,species (common name),emmervete,Triticum turgidum,Plantae,2706406.0,Triticum turgidum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2706406,Rivet Wheat,"emme, emmer, emmervete, spelt- emmervete",emmervete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum turgidum,Poales,False,Poaceae,False,Triticum,875,False,turgidum,Triticum turgidum,47018,True,False,True,4284,True,emmervete,2,"new taxon 'Triticum turgidum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'emmervete'",False,
vete,116,species (common name),vete,Triticum aestivum,Plantae,7795888.0,Triticum aestivum,SPECIES,EXACT,99.0,https://www.gbif.org/species/7795888,Bread Wheat,"skalvete, vete",vete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum aestivum,Poales,False,Poaceae,False,Triticum,875,False,aestivum,Triticum aestivum,47019,True,False,True,4285,True,vete,2,"new taxon 'Triticum aestivum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'vete'",False,
råg,96,species (common name),råg,Secale cereale,Plantae,2705966.0,Secale cereale,SPECIES,EXACT,99.0,https://www.gbif.org/species/2705966,Cereal Rye,råg,råg,,carried-over (species_split_taxa_gbif_matches.csv),Secale,Poaceae,Poales,Plantae,Secale cereale,Poales,False,Poaceae,False,Secale,863,False,cereale,Secale cereale,47020,True,False,True,4286,True,råg,2,"new taxon 'Secale cereale' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'råg'",False,
trä?,90,,,,,,,,,,,,"bark, barr, barrträd, basstamdelar, knopp",trä,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
häst,90,animal (common name),häst,Equus caballus,Animalia,2440886.0,Equus caballus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440886,Alberta Mountain Horse,"häst, hästböna, hästsko, hästspillning, hästtand",häst,,carried-over (species_split_taxa_gbif_matches.csv),Equus,Equidae,Perissodactyla,Animalia,Equus caballus,Perissodactyla,True,Equidae,True,Equus,16753,True,caballus,Equus caballus,47021,True,False,False,4287,True,häst,2,new order 'Perissodactyla'; new family 'Equidae'; new genus 'Equus'; new taxon 'Equus caballus' (author_id NULL); new Swedish common name 'häst',False,
maloideae,88,,,,,,,,,,,,"maloidea, maloideae, maloidear",maloideae,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank
indet?,84,,,,,,,,,,,,"förkolnad, förkolnade, indet, kotefjjäl, kottefjäll, kvist, kvistspetsar, obestämt, obränd, oförkolnat material, oid, oid., okänt ursprung, organisk massa, ospec, ospec., smidesloppor, snöre, sot i keramik, sotig jord, stamdelar ört, stjälkar förkolnad, strå, strån, terrest, textil, textilfragment, torne, tågvirke",indet,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
bok,80,species (common name),bok,Fagus sylvatica,Plantae,2882316.0,Fagus sylvatica,SPECIES,EXACT,100.0,https://www.gbif.org/species/2882316,Beech,bok,bok,,carried-over (species_split_taxa_gbif_matches.csv),Fagus,Fagaceae,Fagales,Plantae,Fagus sylvatica,Fagales,False,Fagaceae,False,Fagus,550,False,sylvatica,Fagus sylvatica,47022,True,False,True,4288,True,bok,2,"new taxon 'Fagus sylvatica' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'bok'",False,
speltvete,69,species (common name),speltvete,Triticum spelta,Plantae,2706402,Triticum spelta,SPECIES,EXACT,100,,Spelt,"spel, spelt, spelt- emmervete",speltvete,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum spelta,Poales,False,Poaceae,False,Triticum,875,False,spelta,Triticum spelta,18227,False,True,False,4289,True,speltvete,2,new Swedish common name 'speltvete',False,
naket?,64,,,,,,,,,,,,"najet korn, naket, naket kor, naket korn",naket,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
alm,61,"genus (suffix, ambiguous)",,,,,,,,,,,alm,alm,"Cocos, Phoenix, Ulmus",,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Cocos, Phoenix, Ulmus"
får,57,animal (common name),får,Ovis aries,Animalia,2441110.0,Ovis aries,SPECIES,EXACT,99.0,https://www.gbif.org/species/2441110,Domestic Sheep,"får, fårtand",får,,carried-over (species_split_taxa_gbif_matches.csv),Ovis,Bovidae,Artiodactyla,Animalia,Ovis aries,Artiodactyla,True,Bovidae,True,Ovis,16754,True,aries,Ovis aries,47023,True,False,False,4290,True,får,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Ovis'; new taxon 'Ovis aries' (author_id NULL); new Swedish common name 'får',False,
kubbvete,56,gbif only (no prior SEAD anchor),,,Plantae,160025822,Triticum compactum,SPECIES,VERNACULAR,,,,"bröd- kubbvete, kubbvete",kubbvete,,species/search (vernacular),Triticum,Poaceae,Poales,Plantae,,Poales,False,Poaceae,False,Triticum,875,False,spp.,Triticum spp.,18240,False,True,False,4291,True,kubbvete,2,new Swedish common name 'kubbvete',True,weak GBIF match (VERNACULAR)
svin,54,animal (common name),svin,Sus scrofa domesticus,Animalia,11374585.0,Sus scrofa domesticus,SUBSPECIES,EXACT,99.0,https://www.gbif.org/species/11374585,Domestic Pig,"get alt. svin, svin, svinbete, tamsvin",svin,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa domesticus,Artiodactyla,True,Suidae,True,Sus,16755,True,scrofa domesticus,Sus scrofa domesticus,47024,True,False,False,4292,True,svin,2,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa domesticus' (author_id NULL); new Swedish common name 'svin',False,
pomoideae,52,,,,,,,,,,,,"pomoidea, pomoideae",pomoideae,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank
säl,50,animal (family),säl,,Animalia,5310.0,Phocidae,FAMILY,EXACT,96.0,https://www.gbif.org/species/5310,Crawling Seals,säl,säl,,carried-over (species_split_taxa_gbif_matches.csv),,Phocidae,Carnivora,Animalia,Phocidae,Carnivora,True,Phocidae,True,Phocidae indet,16756,True,indet.,Phocidae indet indet.,47025,True,False,False,4293,True,säl,2,new order 'Carnivora'; new family 'Phocidae'; new genus 'Phocidae indet'; new taxon 'Phocidae indet indet.' (author_id NULL); new Swedish common name 'säl',False,
havre,45,species (common name),havre,Avena sativa var sativa,Plantae,7432992.0,Avena sativa sativa,VARIETY,EXACT,100.0,https://www.gbif.org/species/7432992,,"haver, havre",havre,,carried-over (species_split_taxa_gbif_matches.csv),Avena,Poaceae,Poales,Plantae,Avena sativa var sativa,Poales,False,Poaceae,False,Avena,786,False,sativa var sativa,Avena sativa var sativa,3743,False,True,False,2882,False,havre,2,,False,
bröd?,45,,,,,,,,,,,,bröd,bröd,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
get,44,animal (common name),get,Capra hircus,Animalia,2441056.0,Capra hircus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441056,Billy Goat,"get, get alt. svin",get,,carried-over (species_split_taxa_gbif_matches.csv),Capra,Bovidae,Artiodactyla,Animalia,Capra hircus,Artiodactyla,True,Bovidae,True,Capra,16757,True,hircus,Capra hircus,47026,True,False,False,4294,True,get,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Capra'; new taxon 'Capra hircus' (author_id NULL); new Swedish common name 'get',False,
brödvete,40,,,,,,,,,,,,"bröd- kubbvete, brödvete",brödvete,,,,,,,,,False,,False,,,False,,,,False,False,False,,False,,,,True,no GBIF or SEAD match at any rank
djur?,38,species (common name),tandrot,Cardamine bulbifera,Plantae,3045931.0,Cardamine bulbifera,SPECIES,EXACT,99.0,https://www.gbif.org/species/3045931,Coralroot,"bränt ben, djurben, gräsätare, hjärnsubstans, hörntand, koprolit, läder, tandrot, tjärat nöthår, tänder",djur,,carried-over (species_split_taxa_gbif_matches.csv),Cardamine,Brassicaceae,Brassicales,Plantae,Cardamine bulbifera,Brassicales,False,Brassicaceae,False,Cardamine,305,False,bulbifera,Cardamine bulbifera,47027,True,False,True,4295,True,djur,2,"new taxon 'Cardamine bulbifera' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'djur'",True,marked uncertain ('?') in the manual mapping
nävesläktet?,28,gbif only (no prior SEAD anchor),,,Plantae,304058091,Geranium,GENUS,VERNACULAR,,,Cranebills,näver,nävesläktet,,species/search (vernacular),Geranium,Geraniaceae,Geraniales,Plantae,,Geraniales,False,Geraniaceae,False,Geranium,566,False,indet.,Geranium indet.,47028,True,False,False,4296,True,nävesläktet,2,new taxon 'Geranium indet.' (author_id NULL); new Swedish common name 'nävesläktet',True,weak GBIF match (VERNACULAR); marked uncertain ('?') in the manual mapping
spelvete,24,species (common name),speltvete,Triticum spelta,Plantae,2706402.0,Triticum spelta,SPECIES,EXACT,100.0,https://www.gbif.org/species/2706402,Spelt,"speltvete, spelvete",spelvete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum spelta,Poales,False,Poaceae,False,Triticum,875,False,spelta,Triticum spelta,18227,False,True,False,4297,True,spelvete,2,new Swedish common name 'spelvete',False,
brudbröd,22,species (common name),brudbröd,Filipendula vulgaris,Plantae,2988069.0,Filipendula vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2988069,Dropwort,"brudberöd, brudbröd",brudbröd,,carried-over (species_split_taxa_gbif_matches.csv),Filipendula,Rosaceae,Rosales,Plantae,Filipendula vulgaris,Rosales,False,Rosaceae,False,Filipendula,952,False,vulgaris,Filipendula vulgaris,47029,True,False,True,4298,True,brudbröd,2,"new taxon 'Filipendula vulgaris' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'brudbröd'",False,
älg,22,animal (common name),älg,Alces alces,Animalia,2440940.0,Alces alces,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440940,Alce,älg,älg,,carried-over (species_split_taxa_gbif_matches.csv),Alces,Cervidae,Artiodactyla,Animalia,Alces alces,Artiodactyla,True,Cervidae,True,Alces,16758,True,alces,Alces alces,47030,True,False,False,4299,True,älg,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Alces'; new taxon 'Alces alces' (author_id NULL); new Swedish common name 'älg',False,
hund,22,animal (common name),hund,Canis lupus familiaris,Animalia,6164210.0,Canis lupus familiaris,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6164210,Domestic Dog,hund,hund,,carried-over (species_split_taxa_gbif_matches.csv),Canis,Canidae,Carnivora,Animalia,Canis lupus familiaris,Carnivora,True,Canidae,True,Canis,16759,True,lupus familiaris,Canis lupus familiaris,47031,True,False,False,4300,True,hund,2,new order 'Carnivora'; new family 'Canidae'; new genus 'Canis'; new taxon 'Canis lupus familiaris' (author_id NULL); new Swedish common name 'hund',False,
kronhjort,20,animal (common name),kronhjort,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,Barbary Red Deer (barbarus),kronhjort,kronhjort,,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,Artiodactyla,True,Cervidae,True,Cervus,16760,True,elaphus,Cervus elaphus,47032,True,False,False,4301,True,kronhjort,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Cervus'; new taxon 'Cervus elaphus' (author_id NULL); new Swedish common name 'kronhjort',False,
lin,18,species (common name),lin,Linum usitatissimum,Plantae,2873861.0,Linum usitatissimum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2873861,Common Flax,"lin, linfiber, linfrö",lin,,carried-over (species_split_taxa_gbif_matches.csv),Linum,Linaceae,Malpighiales,Plantae,Linum usitatissimum,Malpighiales,False,Linaceae,False,Linum,657,False,usitatissimum,Linum usitatissimum,47033,True,False,True,4302,True,lin,2,"new taxon 'Linum usitatissimum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'lin'",False,
brakved,18,species (common name),brakved,Frangula alnus,Plantae,3039454.0,Frangula alnus,SPECIES,EXACT,100.0,https://www.gbif.org/species/3039454,Alder Buckthorn,brakved,brakved,,carried-over (species_split_taxa_gbif_matches.csv),Frangula,Rhamnaceae,Rosales,Plantae,Frangula alnus,Rosales,False,Rhamnaceae,False,Frangula,934,False,alnus,Frangula alnus,47034,True,False,True,4303,True,brakved,2,"new taxon 'Frangula alnus' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'brakved'",False,
cf hordeum vulgare,14,species (latin),,Hordeum vulgare var vulgare,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,Barley,"cf hordeum sp, cf hordeum vulgare, hordeum sp, hordeum vulgare",hordeum vulgare,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum vulgare var vulgare,Poales,False,Poaceae,False,Hordeum,830,False,vulgare var vulgare,Hordeum vulgare var vulgare,3972,False,True,False,3054,False,sexradigt korn,2,,False,
populus sp,13,genus (latin),,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar","populus, populus sp",populus,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,Salicales,False,Salicaceae,False,Populus,983,False,sp.,Populus sp.,39607,False,True,False,4304,True,"Aspen, Cottonwood, Poplar",1,"new English common name 'Aspen, Cottonwood, Poplar'",False,
prunus sp,12,genus (latin),,,Plantae,3020559.0,Prunus,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3020559,"Almond, Cherry, Plum",prunus sp,prunus,,carried-over (species_split_taxa_gbif_matches.csv),Prunus,Rosaceae,Rosales,Plantae,Prunus,Rosales,False,Rosaceae,False,Prunus,960,False,indet.,Prunus indet.,47035,True,False,False,4305,True,"Almond, Cherry, Plum",1,"new taxon 'Prunus indet.' (author_id NULL); new English common name 'Almond, Cherry, Plum'",False,
hordeum,12,genus (latin),,,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,Barley,hordeum,hordeum,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum,Poales,False,Poaceae,False,Hordeum,830,False,sp.,Hordeum sp.,18012,False,True,False,4306,True,Barley,1,new English common name 'Barley',False,
ull,12,"genus (suffix, ambiguous)",,,Plantae,160027178,Eriophorum,GENUS,VERNACULAR,,,,"ull, ulltextil",ull,"Eriophorum, Nymphoides, Polemonium",species/search (vernacular),Eriophorum,Cyperaceae,Poales,Plantae,,Poales,False,Cyperaceae,False,Eriophorum,458,False,sp.,Eriophorum sp.,18253,False,True,False,4307,True,ull,2,new Swedish common name 'ull',True,"ambiguous genus suffix match, candidates: Eriophorum, Nymphoides, Polemonium; weak GBIF match (VERNACULAR)"
bäver,11,animal (common name),bäver,Castor fiber,Animalia,4409131.0,Castor fiber,SPECIES,EXACT,100.0,https://www.gbif.org/species/4409131,Beaver,bäver,bäver,,carried-over (species_split_taxa_gbif_matches.csv),Castor,Castoridae,Rodentia,Animalia,Castor fiber,Rodentia,True,Castoridae,True,Castor,16761,True,fiber,Castor fiber,47036,True,False,False,4308,True,bäver,2,new order 'Rodentia'; new family 'Castoridae'; new genus 'Castor'; new taxon 'Castor fiber' (author_id NULL); new Swedish common name 'bäver',False,
knylhavre,11,species (common name),knylhavre,Arrhenatherum elatius ssp elatius,Plantae,9781113.0,Arrhenatherum elatius elatius,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/9781113,False Oat-grass,knylhavre,knylhavre,,carried-over (species_split_taxa_gbif_matches.csv),Arrhenatherum,Poaceae,Poales,Plantae,Arrhenatherum elatius ssp elatius,Poales,False,Poaceae,False,Arrhenatherum,785,False,elatius ssp elatius,Arrhenatherum elatius ssp elatius,3737,False,True,False,2877,False,knylhavre,2,,False,
ren,11,animal (common name),ren,Rangifer tarandus,Animalia,5220114.0,Rangifer tarandus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220114,Caribou,"ren, renhår",ren,,carried-over (species_split_taxa_gbif_matches.csv),Rangifer,Cervidae,Artiodactyla,Animalia,Rangifer tarandus,Artiodactyla,True,Cervidae,True,Rangifer,16762,True,tarandus,Rangifer tarandus,47037,True,False,False,4309,True,ren,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Rangifer'; new taxon 'Rangifer tarandus' (author_id NULL); new Swedish common name 'ren',False,
